0000000296,scans,0000000106,DataLength
"header",0000000026,"lines"
"Date",21/11/2025,"Time",11:12:08
"ID","HAL RC RGA 201 #16119","Version",4
"Scans",6
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 2","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 3","RGA","Faraday","mass",40.00,40.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 4","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 5","RGA","Faraday","mass",2.00,2.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 6","RGA","Faraday","mass",26.00,26.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"curtail-clipping",0,"( 1 = on, 0 = off )"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",18.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",650,"V"
"resolution",0,"%"
"Data",6
"Time","ms","CO2","O2","Ar","CO/N2","H2","C2H2",
01:38:38,   5918703,  2.36607e-10,  2.23492e-10,  1.13143e-06,  8.93710e-10,  5.57805e-10,  2.71437e-11,
01:39:31,   5971024,  2.40272e-10,  2.17902e-10,  1.13815e-06,  8.68953e-10,  5.55279e-10,  3.81731e-11,
01:40:23,   6023346,  2.25491e-10,  2.25265e-10,  1.12942e-06,  8.75123e-10,  5.68082e-10,  3.40021e-11,
01:41:15,   6075668,  2.22094e-10,  2.12269e-10,  1.12740e-06,  8.52247e-10,  5.58364e-10,  3.08739e-11,
01:42:04,   6124739,  2.21750e-10,  2.13935e-10,  1.12941e-06,  8.34929e-10,  5.54559e-10,  5.12559e-11,
01:42:57,   6177061,  2.00186e-10,  1.99390e-10,  1.12270e-06,  8.31715e-10,  5.42218e-10,  3.73884e-11,
01:43:49,   6229383,  2.13215e-10,  2.15644e-10,  1.12269e-06,  8.29382e-10,  5.39971e-10,  2.93797e-11,
01:44:41,   6281704,  2.09398e-10,  2.11452e-10,  1.12270e-06,  8.18976e-10,  5.37273e-10,  2.21127e-11,
01:45:34,   6334026,  1.97692e-10,  2.10452e-10,  1.12539e-06,  7.95068e-10,  5.33263e-10,  1.47704e-11,
01:46:26,   6386348,  2.01411e-10,  2.27501e-10,  1.11597e-06,  7.88199e-10,  5.37219e-10,  2.19944e-11,
01:47:18,   6438669,  1.99390e-10,  2.11957e-10,  1.11262e-06,  7.88468e-10,  5.37638e-10,  3.25724e-11,
01:48:10,   6490991,  1.93951e-10,  2.10215e-10,  1.11799e-06,  7.82512e-10,  5.27985e-10,  1.95864e-11,
01:49:03,   6543313,  1.92661e-10,  2.04421e-10,  1.11464e-06,  7.78030e-10,  5.20213e-10,  8.23448e-12,
01:49:55,   6595634,  2.03873e-10,  2.09420e-10,  1.11867e-06,  7.72096e-10,  5.15805e-10,  2.31124e-12,
01:50:47,   6647956,  1.86576e-10,  2.13978e-10,  1.11597e-06,  7.64001e-10,  5.13924e-10,  3.01214e-11,
01:51:40,   6700278,  1.86243e-10,  2.09667e-10,  1.12337e-06,  7.57970e-10,  5.21460e-10,  4.41824e-12,
01:52:32,   6752599,  1.79374e-10,  2.11849e-10,  1.11262e-06,  7.47306e-10,  5.31554e-10,  1.01587e-11,
01:53:24,   6804921,  1.75310e-10,  2.11699e-10,  1.11934e-06,  7.51789e-10,  5.17611e-10,  1.05779e-11,
01:54:17,   6857243,  1.69666e-10,  2.05743e-10,  1.11262e-06,  7.57841e-10,  5.19815e-10,  1.61679e-11,
01:55:09,   6909564,  1.65087e-10,  2.19654e-10,  1.10724e-06,  7.45543e-10,  5.16364e-10,  3.04224e-11,
01:55:58,   6958636,  1.70397e-10,  1.99756e-10,  1.10792e-06,  7.42587e-10,  5.10333e-10,  3.10782e-11,
01:56:47,   7007708,  1.75342e-10,  2.30468e-10,  1.11867e-06,  7.35277e-10,  5.05657e-10,  7.10573e-12,
01:57:40,   7060029,  1.79341e-10,  2.14892e-10,  1.10926e-06,  7.25946e-10,  5.09764e-10,  2.07152e-11,
01:58:32,   7112351,  1.76557e-10,  1.99358e-10,  1.11127e-06,  7.26623e-10,  5.10097e-10,  1.50499e-11,
01:59:18,   7158172,  1.71752e-10,  2.04636e-10,  1.11061e-06,  7.11358e-10,  5.13666e-10,  1.75869e-11,
02:00:10,   7210494,  1.53112e-10,  2.14795e-10,  1.10253e-06,  7.02436e-10,  5.05625e-10,  1.75977e-11,
02:01:02,   7262816,  1.59132e-10,  2.01239e-10,  1.10859e-06,  7.02296e-10,  5.24695e-10,  1.87049e-12,
02:01:55,   7315138,  1.66022e-10,  2.00734e-10,  1.10321e-06,  7.09294e-10,  4.92747e-10,  1.12874e-11,
02:02:44,   7364209,  1.73870e-10,  2.21084e-10,  1.10658e-06,  7.14949e-10,  5.06377e-10,  8.82573e-12,
02:03:36,   7416530,  1.68054e-10,  1.93349e-10,  1.10724e-06,  7.03951e-10,  4.84362e-10,  9.83623e-12,
02:04:28,   7468852,  1.66678e-10,  2.19428e-10,  1.10926e-06,  7.03543e-10,  5.25061e-10,  2.55634e-11,
02:05:21,   7521174,  1.62378e-10,  2.07259e-10,  1.10523e-06,  6.98114e-10,  5.02411e-10,  1.40072e-11,
02:06:13,   7573496,  1.52542e-10,  2.18633e-10,  1.10321e-06,  7.01210e-10,  5.16042e-10, -5.69749e-12,
02:07:05,   7625818,  1.75471e-10,  1.98713e-10,  1.10187e-06,  7.01662e-10,  5.01798e-10,  2.10269e-11,
02:07:58,   7678139,  1.54724e-10,  2.04206e-10,  1.10389e-06,  6.88686e-10,  5.11946e-10,  1.31149e-12,
02:08:50,   7730461,  1.46113e-10,  1.87479e-10,  1.10724e-06,  7.07811e-10,  5.00884e-10,  3.99899e-12,
02:09:42,   7782783,  1.57014e-10,  2.10742e-10,  1.10590e-06,  6.80882e-10,  5.11849e-10,  7.42823e-12,
02:10:35,   7835104,  1.63431e-10,  2.11140e-10,  1.10321e-06,  6.94008e-10,  4.94939e-10,  1.00512e-11,
02:11:24,   7884175,  1.62647e-10,  2.15182e-10,  1.10119e-06,  6.90277e-10,  4.84372e-10,  1.05027e-11,
02:12:16,   7936497,  1.70473e-10,  2.05754e-10,  1.09918e-06,  6.94739e-10,  4.88199e-10,  1.07284e-11,
02:13:08,   7988820,  1.49629e-10,  2.04550e-10,  1.10590e-06,  6.93836e-10,  4.95971e-10,  1.32654e-11,
02:14:01,   8041121,  1.38223e-10,  2.12591e-10,  1.10658e-06,  6.77754e-10,  5.03840e-10,  2.06292e-11,
02:14:53,   8093443,  1.35578e-10,  2.10215e-10,  1.10187e-06,  6.79001e-10,  4.95488e-10,  1.12767e-11,
02:15:45,   8145764,  1.48263e-10,  2.00831e-10,  1.09918e-06,  6.61510e-10,  4.96047e-10,  1.84899e-12,
02:16:38,   8198086,  1.69978e-10,  2.20965e-10,  1.10658e-06,  6.65681e-10,  4.88532e-10, -9.62123e-12,
02:17:30,   8250408,  1.36750e-10,  2.19493e-10,  1.09784e-06,  6.58640e-10,  4.96918e-10,  1.04274e-11,
02:18:19,   8299459,  1.47371e-10,  2.04367e-10,  1.10388e-06,  6.75528e-10,  5.00443e-10, -6.54673e-12,
02:19:11,   8351760,  1.61647e-10,  2.09904e-10,  1.10321e-06,  6.72454e-10,  5.02690e-10,  1.78557e-11,
02:20:04,   8404082,  1.59830e-10,  2.06679e-10,  1.09716e-06,  6.62080e-10,  4.83609e-10,  8.06248e-12,
02:20:56,   8456404,  1.57562e-10,  2.02475e-10,  1.10590e-06,  6.83774e-10,  4.96520e-10, -7.82598e-12,
02:21:48,   8508726,  1.39448e-10,  2.17246e-10,  1.09986e-06,  6.69605e-10,  4.97992e-10,  3.71949e-12,
02:22:41,   8561048,  1.51553e-10,  2.14634e-10,  1.08977e-06,  6.66412e-10,  4.92381e-10,  1.67914e-11,
02:23:33,   8613349,  1.26376e-10,  2.11333e-10,  1.09986e-06,  6.78065e-10,  4.86082e-10,  1.23624e-12,
02:24:25,   8665671,  1.42297e-10,  2.11591e-10,  1.09918e-06,  6.69594e-10,  4.91166e-10,  2.30049e-12,
02:25:17,   8717972,  1.42147e-10,  2.02432e-10,  1.09716e-06,  6.85913e-10,  4.89726e-10,  1.16959e-11,
02:26:10,   8770294,  1.41555e-10,  2.22997e-10,  1.09112e-06,  6.79549e-10,  4.87726e-10,  1.03414e-11,
02:26:59,   8819366,  1.25151e-10,  2.08571e-10,  1.09381e-06,  6.72400e-10,  5.02690e-10,  4.62249e-13,
02:27:51,   8871687,  1.47457e-10,  2.09323e-10,  1.10119e-06,  6.83376e-10,  5.03131e-10,  1.76944e-11,
